R,a0,a2,a4,b3,b5,E
1.43,0.2,0.00407921,-0.00109403,-0.000780873,0.0241855,281.973
1.43,0.21,-0.0175742,0.000371929,0.000313269,0.0157204,196.013
1.43,0.22,-0.0410006,0.0032615,-0.000953102,0.00388141,140.226
1.43,0.23,-0.0440956,0.00382329,-0.00162351,0.00026795,132.534
1.43,0.24,-0.045301,0.00387764,-0.00172978,0.00028205,128.029
1.44,0.2,0.00306233,-0.000996918,-0.000603983,0.0235837,275.493
1.44,0.21,-0.0187973,0.000474393,0.000313781,0.0152536,192.996
1.44,0.22,-0.0424987,0.00359901,-0.00124265,0.00208212,138.445
1.44,0.23,-0.0442665,0.00384871,-0.00162571,0.000268914,132.788
1.44,0.24,-0.0454774,0.00390359,-0.00173201,0.00028305,128.274
1.45,0.2,0.00202458,-0.000900924,-0.000464371,0.0230088,269.47
1.45,0.21,-0.0200127,0.00057976,0.000309579,0.0147848,190.085
1.45,0.22,-0.0431443,0.00380779,-0.00152115,0.000255066,138.027
1.45,0.23,-0.0444375,0.00387416,-0.00162801,0.000269893,133.046
1.45,0.24,-0.0456537,0.00392956,-0.00173433,0.000284065,128.523
1.46,0.2,0.000967595,-0.000806368,-0.000349807,0.0224581,263.857
1.46,0.21,-0.0212211,0.000688505,0.00030067,0.0143127,187.273
1.46,0.22,-0.04331,0.00383275,-0.0015235,0.000256023,138.3
1.46,0.23,-0.0446085,0.00389967,-0.0016304,0.000270888,133.309
1.46,0.24,-0.04583,0.00395557,-0.00173675,0.000285094,128.778
1.47,0.2,-0.000106333,-0.000713499,-0.00025309,0.0219294,258.616
1.47,0.21,-0.0224231,0.000801105,0.000287031,0.0138361,184.555
1.47,0.22,-0.0434758,0.00385778,-0.00152593,0.000256996,138.578
1.47,0.23,-0.0447796,0.00392522,-0.00163288,0.000271898,133.577
1.47,0.24,-0.0460063,0.0039816,-0.00173927,0.000286138,129.037
1.48,0.2,-0.00119456,-0.000622487,-0.000169747,0.0214206,253.71
1.48,0.21,-0.0236198,0.000918037,0.000268605,0.0133538,181.925
1.48,0.22,-0.0436419,0.00388288,-0.00152846,0.000257986,138.861
1.48,0.23,-0.0449509,0.00395083,-0.00163546,0.000272924,133.85
1.48,0.24,-0.0461825,0.00400766,-0.00174188,0.000287196,129.3
1.49,0.2,-0.00229427,-0.000533413,-9.68821e-05,0.0209298,249.109
1.49,0.21,-0.0248124,0.00103978,0.000245307,0.0128647,179.38
